Brand,Name,Size,ItemID,UPC,Wholesale Price,Retail Price,Discount,Final Price,MAP Price,OnHand,Allocated,Qty Available,Weight,Length,Width,Height,Category,Subcategory,HasMAP,MAPFile,Prop65
ABSORBAID,AbsorbAid,100 GM,247402,724250784021,11.99,19.99,0,11.99,14.99,24,0,24,0.34,2.7500,2.7500,3.1250,Supplements,,Y,https://www.palkoservices.com/map/Absorbaid.pdf,N
ABSORBAID,AbsorbAid,240 VGC,247401,724250784014,23.99,39.99,0,23.99,29.99,62,0,62,0.59,3.2500,3.2500,5.2500,Supplements,,Y,https://www.palkoservices.com/map/Absorbaid.pdf,N
ABSORBAID,AbsorbAid,90 VGC,247404,724250784045,11.99,19.99,0,11.99,14.99,34,8,26,0.25,4.5000,2.5000,2.5000,Supplements,,Y,https://www.palkoservices.com/map/Absorbaid.pdf,N
ABSORBAID,AbsorbAid Platinum,120 VGC,247410,724250784106,29.99,49.99,0,29.99,37.49,11,3,8,0.09,2.0000,2.0000,3.7500,Supplements,,Y,https://www.palkoservices.com/map/Absorbaid.pdf,N
ABSORBAID,AbsorbAid Platinum,60 VGC,247407,724250784076,17.99,29.99,0,17.99,22.49,12,2,10,0.09,2.0000,2.0000,3.7500,Supplements,,Y,https://www.palkoservices.com/map/Absorbaid.pdf,N
ACESO,Hemp Balm Cool,1.7 OZ,714776,857972007762,21.98,40.99,35,14.29,,13,0,13,0.06,2.5000,2.5000,2.0000,Supplements,,N,,N
ACESO,Hemp Balm Heat,1.7 OZ,714729,857972007779,21.98,40.99,35,14.29,,10,0,10,0.06,2.5000,2.5000,2.0000,Supplements,,N,,N
ACESO,Hemp Balm Soothe,1.7 OZ,714072,857972007298,21.98,40.99,35,14.29,,11,0,11,0.06,3.2000,2.0000,1.0000,Supplements,,N,,N
ACESO,Hemp Fizz Tabs Calm,20 CT,714726,857972007267,14.47,25.00,35,9.41,,9,0,9,0.06,5.2000,2.2000,.7000,Supplements,,N,,N
ACESO,Hemp Fizz Tabs Soothe,20 CT,714725,857972007250,14.47,25.00,35,9.41,,12,0,12,0.06,5.2000,2.2000,.1000,Supplements,,N,,N
ACESO,Hemp Fizz Tabs Wellness,20 CT,714727,857972007243,14.47,25.00,35,9.41,,12,0,12,0.06,5.2000,2.2000,.7000,Supplements,,N,,N
ACESO,Hemp Sachets Calm,30 CT,714526,850009993052,26.00,50.00,35,16.90,,0,0,0,0.06,6.0000,4.1000,4.8000,Supplements,,N,,N
ACESO,Hemp Sachets Calm,5 CT,714527,859123005276,5.36,10.00,35,3.48,,11,0,11,0.06,5.0000,6.0000,.6000,Supplements,,N,,N
ACESO,Hemp Sachets Soothe,30 CT,714532,850009993045,26.00,50.00,35,16.90,,0,2,0,0.06,6.0000,4.1000,4.8000,Supplements,,N,,N
ACESO,Hemp Sachets Soothe,5 CT,714533,859123005337,5.36,10.00,35,3.48,,5,0,5,0.06,5.0000,6.0000,.6000,Supplements,,N,,N
ACESO,Hemp Sachets Wellness,30 CT,714529,850009993069,26.00,50.00,35,16.90,,12,0,12,0.06,6.0000,4.1000,4.8000,Supplements,,N,,N
ACESO,Hemp Sachets Wellness,5 CT,714530,859123005306,5.36,10.00,35,3.48,,10,0,10,0.06,5.0000,6.0000,.6000,Supplements,,N,,N
ACESO,Hemp Spray Calm,1 OZ,714528,859123005283,28.57,50.00,35,18.57,,5,0,5,0.06,1.4000,1.4000,4.5000,Supplements,,N,,N
ACESO,Hemp Spray Soothe,1 OZ,714534,859123005344,28.57,50.00,35,18.57,,7,0,7,0.06,1.4000,1.4000,4.5000,Supplements,,N,,N
ACESO,Hemp Spray Wellness,1 OZ,714531,859123005313,28.57,50.00,35,18.57,,7,0,7,0.06,1.4000,1.4000,4.5000,Supplements,,N,,N
ALACER CORP,Electro-Mix,30 PKT,209093,076314302321,7.20,11.99,5,6.84,,169,1,168,0.83,5.3800,3.8800,2.6300,Supplements,,N,,N
ALACER CORP,Emergen C Acai Berry,30 PKT,209156,076314302062,10.05,16.69,5,9.55,,21,0,21,0.79,2.6300,5.3800,3.8800,Supplements,,N,,N
ALACER CORP,Emergen C Coconut Pineapple,30 PKT,209603,076314306039,10.05,16.69,5,9.55,,41,6,35,0.82,2.6300,5.3800,3.8800,Supplements,,N,,N
ALACER CORP,Emergen C Cranberry Pomegranate,30 PKT,209193,076314301935,10.05,16.69,5,9.55,,8,6,2,0.77,2.6880,5.4380,3.9380,Supplements,,N,,N
ALACER CORP,Emergen C Energy + Gummies Orange,3/30 CT,209088,076314510887,30.04,16.68,5,28.54,,2,0,2,0.58,2.5930,2.5930,5.0000,Supplements,,N,,N
ALACER CORP,Emergen C Energy+ Peach Mango,18 PKT,209016,076314510160,9.99,16.65,5,9.49,,8,0,8,1.53,2.6250,3.2500,5.4000,Supplements,,N,,N
ALACER CORP,Emergen C Immune Gummies Berry,45 CT,209806,076314601806,9.99,16.65,5,9.49,,6,0,6,0.64,5.2500,2.9000,2.9000,Supplements,,N,,N
ALACER CORP,Emergen C Immune Gummies Citrus,45 CT,209145,076314601455,9.99,16.65,5,9.49,,14,0,14,0.79,5.2500,2.9000,2.9000,Supplements,,N,,N
ALACER CORP,Emergen C Immune Super Orange,30 PKT,209042,885898000420,11.97,19.96,5,11.37,,12,3,9,0.83,2.6300,5.3800,3.8800,Supplements,,N,,N
ALACER CORP,Emergen C Kids Fruit Punch,30 PKT,209404,076314304042,10.05,16.69,5,9.55,,47,15,32,0.85,2.6300,5.3800,3.8800,Children's,,N,,N
ALACER CORP,Emergen C Lemon Lime,30 PKT,209818,076314302055,10.05,16.69,5,9.55,,56,0,56,0.85,2.6300,5.3800,3.8800,Supplements,,N,,N
ALACER CORP,Emergen C Orange,30 PKT,209046,076314302031,10.05,16.69,5,9.55,,240,10,230,0.84,2.5980,5.4330,3.8190,Supplements,,N,,N
ALACER CORP,Emergen C Orange Chewable Tabs,40 TAB,209450,076314324507,10.05,16.69,5,9.55,,0,25,0,0.41,2.6500,2.6500,4.4690,Supplements,,N,,N
ALACER CORP,Emergen C Pink Lemonade,30 PKT,209168,076314302048,10.05,16.69,5,9.55,,31,0,31,0.86,2.6300,5.3800,3.8800,Supplements,,N,,N
ALACER CORP,Emergen C Probiotics + Orange,14 PKT,209053,076314510535,10.71,17.85,5,10.17,,8,7,1,0.25,1.8900,2.6000,5.3750,Supplements,,N,,N
ALACER CORP,Emergen C Probiotics + Orange,30 PKT,209043,076314510436,21.33,35.55,5,20.26,,8,0,8,0.55,2.8910,3.2500,5.3750,Supplements,,N,,N
ALACER CORP,Emergen C Probiotics + Raspberry,14 PKT,209054,076314510542,10.71,17.85,5,10.17,,20,2,18,0.25,1.8900,2.6000,5.3750,Supplements,,N,,N
ALACER CORP,Emergen C Probiotics + Raspberry,30 PKT,209443,076314510443,21.33,35.55,5,20.26,,12,0,12,0.55,2.8910,3.2500,5.3750,Supplements,,N,,N
ALACER CORP,Emergen C Raspberry,30 PKT,209040,076314302017,10.05,16.69,5,9.55,,46,6,40,0.83,2.6300,5.3800,3.8800,Supplements,,N,,N
ALACER CORP,Emergen C Strawberry Kiwi,30 PKT,209319,076314303199,10.05,16.69,5,9.55,,25,6,19,0.82,2.6300,5.3800,3.8800,Supplements,,N,,N
ALACER CORP,Emergen C Tangerine,30 PKT,209549,076314302024,10.05,16.69,5,9.55,,47,20,27,0.85,2.6300,5.3800,3.8800,Supplements,,N,,N
ALACER CORP,Emergen C Tropical,30 PKT,209587,076314302079,10.05,16.69,5,9.55,,47,14,33,0.83,2.6880,5.4380,3.9380,Supplements,,N,,N
ALACER CORP,Emergen C ZZZ Berry PM,24 PKT,209247,076314321247,10.05,16.69,5,9.55,,28,0,28,0.61,2.6300,5.3800,3.8800,Supplements,,N,,N
ALACER CORP,Immune w/Vit D Blueberry Acai,30 PKT,209007,885898000079,11.97,19.96,5,11.37,,14,0,14,0.82,5.3800,3.8800,2.6300,Supplements,,N,,N
ALBA BOTANICA,Acnedote Pimple Patches,40 CT,11759,724742007591,6.38,10.64,0,6.38,,0,2,0,0.07,1.0000,2.0000,4.5000,HABA,,Y,https://www.palkoservices.com/map/AlbaBotanica.pdf,N
ALBA BOTANICA,After Sun 85% Aloe Vera Lotion,8 OZ,11026,724742004026,4.79,7.99,0,4.79,,50,0,50,0.55,2.0000,3.0000,7.7500,HABA,SUN CARE - SEASONAL,Y,https://www.palkoservices.com/map/AlbaBotanica.pdf,N
